alpha,beta,gamma,dataset,n_images,mean_iou,mean_dice,mean_precision,mean_recall,mean_f1
0.1,0.1,0.8,deepcrack,30,0.5456369188883461,0.6947630450955191,0.8177582955625375,0.6436223729464596,0.6947630450955192
0.1,0.2,0.7,deepcrack,30,0.5421301469195032,0.6909298767955209,0.8175948611157442,0.6400632571484469,0.690929876795521
0.1,0.3,0.6000000000000001,deepcrack,30,0.5431049859460529,0.6922349469991186,0.8176533241994832,0.6411485196481759,0.6922349469991186
0.1,0.4,0.5,deepcrack,30,0.5444907427736002,0.6938538287877541,0.8176472594597487,0.6431988576005134,0.6938538287877541
0.1,0.5,0.4,deepcrack,30,0.5442410371349179,0.692376250012782,0.8014639307528635,0.6465241933494039,0.692376250012782
0.1,0.6,0.30000000000000004,deepcrack,30,0.5365917808380114,0.6850224833345698,0.7951191499433242,0.6398200027812355,0.6850224833345698
0.1,0.7,0.20000000000000007,deepcrack,30,0.5381958913583543,0.687282662340151,0.7942783107424558,0.6457134857012292,0.687282662340151
0.2,0.1,0.7000000000000001,deepcrack,30,0.5421301469195032,0.6909298767955209,0.8175948611157442,0.6400632571484469,0.690929876795521
0.2,0.2,0.6000000000000001,deepcrack,30,0.5429482862964731,0.6920754606924052,0.8175265595050085,0.6410468483805037,0.6920754606924053
0.2,0.3,0.5,deepcrack,30,0.5429482862964731,0.6920754606924052,0.8175265595050085,0.6410468483805037,0.6920754606924053
0.2,0.4,0.4,deepcrack,30,0.5421019280355708,0.6910243848239584,0.8020619157181111,0.6434018677189023,0.6910243848239584
0.2,0.5,0.30000000000000004,deepcrack,30,0.5303277783168289,0.6807197384840217,0.7967171229796652,0.6308350600460908,0.6807197384840217
0.2,0.6,0.20000000000000007,deepcrack,30,0.5366348132054645,0.6863259468356057,0.7973187557436084,0.6399101702683612,0.6863259468356058
0.2,0.7,0.10000000000000009,deepcrack,30,0.5367531029461056,0.6864049633707761,0.7974741815605085,0.6398923210938854,0.6864049633707761
0.3,0.1,0.6,deepcrack,30,0.5460247186258165,0.6937342360609786,0.8172296237823827,0.6461290100735947,0.6937342360609787
0.3,0.2,0.49999999999999994,deepcrack,30,0.5429482862964731,0.6920754606924052,0.8175265595050085,0.6410468483805037,0.6920754606924053
0.3,0.3,0.39999999999999997,deepcrack,30,0.5428929557756784,0.6920197888279552,0.8031797993296247,0.64431214655337,0.6920197888279553
0.3,0.4,0.29999999999999993,deepcrack,30,0.5384096789338297,0.68766455932243,0.7986268314114479,0.6402192513887883,0.68766455932243
0.3,0.5,0.19999999999999996,deepcrack,30,0.5368285593454762,0.6864084256282267,0.7972312655111394,0.6399713846025101,0.6864084256282267
0.3,0.6,0.09999999999999998,deepcrack,30,0.5366348132054645,0.6863259468356057,0.7973187557436084,0.6399101702683612,0.6863259468356058
0.3,0.7,0.0,deepcrack,30,0.5315298210905839,0.6816725963672235,0.7943168635971368,0.6339812912340439,0.6816725963672235
0.4,0.1,0.5,deepcrack,30,0.547488718455306,0.695005545734754,0.8180346165158773,0.6481298374834258,0.6950055457347541
0.4,0.2,0.39999999999999997,deepcrack,30,0.5429482862964731,0.6920754606924052,0.8175265595050085,0.6410468483805037,0.6920754606924053
0.4,0.3,0.3,deepcrack,30,0.5386060251482441,0.6880998749409993,0.8001909608409467,0.6403916037236577,0.6880998749409993
0.4,0.4,0.19999999999999996,deepcrack,30,0.5366620829741575,0.6863481415484605,0.7982987082272064,0.6397010008857797,0.6863481415484605
0.4,0.5,0.09999999999999998,deepcrack,30,0.5366967807471579,0.686294423276055,0.7973801819726931,0.639833380213927,0.6862944232760552
0.4,0.6,0.0,deepcrack,30,0.5368629759971529,0.6864780909410311,0.7974050724462333,0.6401190494058462,0.6864780909410311
0.5,0.1,0.4,deepcrack,30,0.5484030144518655,0.6962369165228303,0.8181221625508267,0.6490833410852594,0.6962369165228304
0.5,0.2,0.3,deepcrack,30,0.5425967534741469,0.6909900210976491,0.7999815711532701,0.6464272690185823,0.6909900210976492
0.5,0.3,0.2,deepcrack,30,0.5326263289526174,0.6835008749710438,0.799579113601861,0.6339229498159801,0.6835008749710438
0.5,0.4,0.09999999999999998,deepcrack,30,0.5357625051701093,0.6855474111493328,0.797899759356887,0.6379507319897204,0.6855474111493328
0.5,0.5,0.0,deepcrack,30,0.5371677976844371,0.6868114510280386,0.7978486214520873,0.6403731529411997,0.6868114510280386
0.6,0.1,0.30000000000000004,deepcrack,30,0.5415226133046673,0.6892480253155127,0.7954780160067005,0.6466629254391634,0.6892480253155127
0.6,0.2,0.2,deepcrack,30,0.5432734148859394,0.691941970868878,0.7981404896390975,0.6490361980911854,0.6919419708688781
0.6,0.3,0.10000000000000003,deepcrack,30,0.5405922682700705,0.6891645882895887,0.7981184014907403,0.6456049072828092,0.6891645882895888
0.6,0.4,0.0,deepcrack,30,0.5358451809642534,0.6856185897996094,0.7974134744623925,0.63818651838717,0.6856185897996094
0.7,0.1,0.20000000000000004,deepcrack,30,0.5448516146860337,0.6933186201627329,0.798420667507127,0.6514006843269139,0.693318620162733
0.7,0.2,0.10000000000000003,deepcrack,30,0.5433512997046414,0.6919994751234504,0.797182387785392,0.6497188604109304,0.6919994751234505
0.7,0.3,5.551115123125783e-17,deepcrack,30,0.5477302791385998,0.695277733505758,0.7986390677471971,0.6537723492741313,0.695277733505758
